Área Carrera Genérica,Área,tipos_institucion,n_tipos_institucion,1er año,2° año,3er año,4° año,5° año,10% inferior 1er año,25% inferior 1er año,Percentil 50 1er año,25% superior 1er año,10% superior 1er año,10% inferior 5° año,25% inferior 5° año,Percentil 50 5° año,25% superior 5° año,10% superior 5° año,Empleabilidad 1er año - 2020,Empleabilidad 1er año - 2021,Empleabilidad 1er año - 2022,Empleabilidad 1er año - 2023,Empleabilidad 1er año - 2024,Empleabilidad 2° año - 2020,Empleabilidad 2° año - 2021,Empleabilidad 2° año - 2022,Empleabilidad 2° año - 2023,Empleabilidad 2° año - 2024,Empleabilidad 1er año,Empleabilidad 2° año,Duración Formal,Duración Real,Retención 1er año,Retención 2° año,Titulados Mujeres,Titulados Hombres,Titulados Total,Matrícula 1er año Mujeres,Matrícula 1er año Hombres,Total Matrícula 1er año,Matrícula Total Mujeres,Matrícula Total Hombres,Matrícula Total,arancel_valor,titulacion_valor,puntaje_corte_paes,vacantes_total,vacantes_presencial,matricula_1er_total,matricula_1er_presencial,pct_matricula_distancia,prop_programas_acreditados,n_programas,n_instituciones,carrera_tipo,ingreso_4to_anio_valor,brecha_duracion,costo_total_carrera,anios_recuperar_inversion
Sociología,Ciencias Sociales,Universidades,1,1089620.51,1200016.33,1312597.02,1417499.73,1581981.79,594070.5899999999,666242.96,920923.43,1292390.56,1818237.99,727900.15,1031364.8399999999,1365715.4299999997,1927079.0,2472635.24,0.45,0.51,0.63,0.6600000000000001,0.58,0.63,0.67,0.7,0.8,0.73,0.62,0.75,9.83,12.99,0.74,0.6600000000000001,236.0,243.0,479.0,255.0,238.0,493.0,1322.0,1133.0,2455.0,5618538.236093943,155912.39925834365,684.5976384662205,710,710,493,493,0.0,1.0,18,17,Sociología,1417499.73,3.16,27771027.829660077,1.6
Tecnología Médica,Salud,Universidades,1,1226007.28,1456786.37,1634698.4,1750943.4,1836410.79,583051.64,714570.14,968084.53,1292703.28,1661451.28,982751.2300000001,1360064.94,1720266.12,2102914.62,2577122.7,0.77,0.95,0.88,0.73,0.57,0.89,0.96,0.9400000000000001,0.88,0.8,0.71,0.85,10.05,12.74,0.86,,1352.0,858.0,2210.0,2194.0,1189.0,3383.0,10413.0,6009.0,16422.0,6409252.818074314,171683.7712703056,659.1383898903073,3502,3502,3346,3346,0.0,1.0,45,25,Tecnología Médica,1750943.4,2.6899999999999995,32378179.182093736,1.5
Terapia Ocupacional,Salud,Institutos Profesionales / Universidades,2,877845.0854722704,1027956.471806759,1142183.7396533797,1248188.5410745235,1300917.2757019063,554395.4147487003,635308.5576126516,782851.850922877,1008368.3277989603,1282510.176819757,697366.4104939342,952651.9106845754,1268989.4613951473,1560408.8719280763,1923280.6088431543,0.3748613518197573,0.6167590987868284,0.5683795493934141,0.49918977469670717,0.42513864818024266,0.661897746967071,0.7735181975736569,0.7551386481802427,0.7310875216637781,0.6827079722703638,0.49756932409012133,0.7118977469670711,9.98622616984402,11.494306759098787,0.8383795493934141,0.7099999999999999,2001.0,307.0,2308.0,2629.0,456.0,3085.0,12089.0,2066.0,14155.0,5402247.019910547,160996.32751406723,590.1640308351178,3642,3642,3065,3065,0.0,1.0,62,33,Terapia Ocupacional,1248188.5410745235,1.5080805892547673,27135026.610610355,1.8
Trabajo Social,Ciencias Sociales,Institutos Profesionales / Universidades,2,1062671.7520547945,1122229.8364383562,1170864.0484931506,1198121.8139726026,1261701.1987671233,592038.235890411,715664.984109589,944601.9972602739,1279037.4879452055,1694806.465479452,689597.0108219177,907629.6590410959,1181209.0732876714,1536620.3243835615,2022616.9987671236,0.6153424657534246,0.6453424657534247,0.69,0.6806849315068493,0.6453424657534247,0.7239726027397261,0.7586301369863014,0.7786301369863015,0.7693150684931507,0.7593150684931507,0.6753424657534246,0.7639726027397261,8.84972602739726,10.514657534246577,0.771917808219178,0.6199999999999999,5834.0,955.0,6789.0,5628.0,1082.0,6711.0,27386.0,5461.0,32848.0,2903377.0584850106,157474.80467077089,564.4860996539793,10170,5050,6649,4557,0.3332441113490364,1.0,221,44,Trabajo Social,1198121.8139726026,1.6649315068493173,13004520.56558222,0.9
Traducción e Interpretación,Humanidades,Universidades,1,803174.11,858313.63,902136.39,981267.92,985231.5700000001,555966.63,607152.94,722799.93,965602.7299999999,1331790.68,594494.7,690303.82,872548.65,1103698.8,1494917.42,0.3,0.33,0.45,0.41,0.39,0.37,0.43,0.48999999999999994,0.54,0.48000000000000004,0.42,0.51,9.04,12.41,0.82,,192.0,91.0,283.0,418.0,170.0,588.0,2168.0,980.0,3148.0,4602982.390615092,176064.66455294864,611.3321786248131,1156,1031,701,603,0.03614457831325302,1.0,25,11,Traducción e Interpretación,981267.92,3.370000000000001,20981545.07013316,1.8
Técnico Agropecuario,Agropecuaria,Centros de Formación Técnica / Institutos Profesionales / Universidades,3,856319.4384432359,890057.0438273285,936275.1977702244,1004049.4141196465,1039779.7256832087,556578.8679401767,637997.0021957852,767683.054656696,1010489.9900679811,1410375.9065057784,588780.3771312032,706103.2893881714,916518.7384228414,1217221.3922909584,1604591.7015839564,0.4278042148198504,0.5178314072059823,0.5146023113528212,0.4545955132562883,0.5091094493541809,0.5350985723997281,0.5847110808973488,0.6110061182868797,0.5605914343983686,0.5485791978246092,0.4936233854520734,0.5687219578518015,4.713269884432359,6.571747110808974,0.6787763426240653,,669.0,802.0,1471.0,890.0,1033.0,1923.0,1921.0,2380.0,4301.0,2554922.6950596254,231828.40885860307,,2263,2263,1280,1280,0.0,1.0,66,17,Técnico Agropecuario,1004049.4141196465,1.858477226376615,6252848.506697249,0.5
Técnico Asistente del Educador Diferencial,Educación,Centros de Formación Técnica / Institutos Profesionales,2,643844.7089262966,660222.3003730664,671491.4513011829,676263.7977252047,721252.173343949,527715.3217470428,559651.1333985442,622753.8757597817,734084.42244313,890632.222534122,541382.8895131939,579732.1189717925,652854.3932074613,786761.0918471338,988618.2138989992,0.3346997270245678,0.2797270245677889,0.3946451319381256,0.3997270245677889,0.35961783439490447,0.49005459508644217,0.42967242948134665,0.42978161965423106,0.4897816196542311,0.49486351228389447,0.3846451319381256,0.4748089171974523,4.850928116469518,6.051692447679709,0.7051910828025478,,2125.0,73.0,2198.0,3310.0,130.0,3440.0,8726.0,317.0,9043.0,2002700.478265753,168330.8341008649,,5560,2686,3394,2275,0.3353925643041671,1.0,132,22,Técnico Asistente del Educador Diferencial,676263.7977252047,1.2007643312101912,5025808.8635440115,0.6
Técnico Asistente del Educador de Párvulos,Educación,Centros de Formación Técnica / Institutos Profesionales / Universidades,3,661914.6301656762,681361.0297100665,690424.0179290475,708449.4146659463,738938.4099027552,528992.7867765173,563745.8451215558,637853.4106014767,760005.360576265,887440.622382496,545552.2063047001,603146.8528471097,711673.5276499189,816234.0109058168,933155.1614496668,0.3926724293174861,0.3405942733657482,0.4161012065550153,0.4080641094903656,0.3571763010985053,0.525472717450027,0.4699765892310463,0.47509814514676746,0.4805006302899334,0.4851809832522961,0.39708265802269044,0.4814928867278948,4.780842787682334,5.7797820997658915,0.7171060687916442,,5541.0,12.0,5553.0,8625.0,55.0,8680.0,21482.0,83.0,21565.0,2066063.9681847896,200073.8315537154,,11083,6241,8337,6249,0.27729352800174334,1.0,189,33,Técnico Asistente del Educador de Párvulos,708449.4146659463,0.9989393120835572,5138837.342147013,0.6
Técnico Dental y Asistente de Odontología,Salud,Centros de Formación Técnica / Institutos Profesionales,2,665081.3225132555,698704.8975874867,724469.566426299,760752.0442841994,788862.8240349947,539232.6439130434,577308.9568663839,643808.720397667,721078.6355037115,839044.8008642629,563391.1610127253,642582.6743796396,753920.099862142,878806.3857211028,1050985.949533404,0.31250265111346764,0.5881283138918346,0.6268769883351007,0.535625662778367,0.49500530222693534,0.41687698833510073,0.6012513255567339,0.6550053022269353,0.6012513255567339,0.5731230116648993,0.5625026511134678,0.6068769883351008,4.974374337221633,5.882470837751856,0.7537539766702015,,1664.0,222.0,1886.0,1827.0,346.0,2173.0,5283.0,892.0,6175.0,2721874.293574524,192916.33691351046,,2087,2087,1870,1870,0.0,1.0,76,12,Técnico Dental y Asistente de Odontología,760752.0442841994,0.9080965005302231,6962727.154463697,0.8
Técnico Jurídico,Derecho,Centros de Formación Técnica / Institutos Profesionales,2,1019081.9365328467,1041759.4359124086,1025918.4271167883,1043897.9636131385,1012641.6966423357,580158.4016058394,710545.6015693431,938691.2001824817,1234681.6571532846,1725741.4082846716,588153.195510949,693117.3916788321,932779.8805839415,1195766.3680656934,1537309.4449270074,0.4382481751824817,0.6072992700729927,0.6191970802919708,0.6228467153284671,0.616021897810219,0.5963503649635037,0.5836496350364964,0.6572992700729926,0.6655474452554744,0.6582481751824817,0.616021897810219,0.6582481751824817,4.897627737226277,6.022883211678831,0.6081021897810218,,615.0,207.0,822.0,801.0,301.0,1102.0,2053.0,782.0,2835.0,2302143.590515619,294385.773428679,,1350,415,1070,526,0.4753481369966127,1.0,66,5,Técnico Jurídico,1043897.9636131385,1.1252554744525538,5931906.925422173,0.5
Técnico Laboratorista Dental,Salud,Centros de Formación Técnica / Institutos Profesionales,2,797801.1498550725,846696.7380434782,852473.8265217391,849099.2551086957,909397.9833695653,552845.5007608695,597581.3271739131,731742.0831884057,908124.697862319,1269518.4688043478,552661.7657246375,639220.1901086956,804662.4260144926,984107.9711594202,1212429.8151449277,0.2832246376811594,0.5652898550724637,0.5173550724637682,0.5390579710144927,0.3951086956521739,0.2407608695652174,0.548876811594203,0.6060507246376811,0.566231884057971,0.6052898550724638,0.4817028985507246,0.5943478260869566,5.0,6.130181159420289,0.8054710144927536,,200.0,76.0,276.0,315.0,84.0,399.0,872.0,262.0,1134.0,2713406.746031746,122708.99470899471,,429,429,399,399,0.0,1.0,15,4,Técnico Laboratorista Dental,849099.2551086957,1.1301811594202889,6906225.859788359,0.7
Técnico Veterinario,Agropecuaria,Centros de Formación Técnica / Institutos Profesionales,2,703713.7498969074,733411.3140206186,782437.8836082474,804713.3872164949,824814.5694845362,537714.847113402,582199.9775257732,669091.8817525773,789154.7294845361,987219.2222680412,538180.9022680413,601585.76,764825.0864948453,890571.8097938144,1141976.7756701033,0.35515463917525775,0.40072164948453615,0.48195876288659795,0.43463917525773205,0.3907216494845361,0.47319587628865983,0.5724742268041237,0.5614432989690722,0.517319587628866,0.4765979381443299,0.43268041237113397,0.51,5.0,6.377113402061856,0.8060824742268041,,703.0,170.0,873.0,1617.0,415.0,2032.0,4057.0,1082.0,5139.0,2783717.0078111133,64875.98721817859,,2963,2963,2341,2341,0.0,1.0,38,10,Técnico Veterinario,804713.3872164949,1.3771134020618563,7024168.506745962,0.7
Técnico en Acuicultura y Pesca,Agropecuaria,Centros de Formación Técnica,1,1303716.18,1361159.54,1485977.24,1431508.93,1528200.38,693679.73,856531.73,1221749.43,1599006.18,2076737.2599999998,781243.68,975925.82,1399105.39,1755713.42,1940236.43,,,,,,,,,,,0.85,0.87,5.0,6.61,0.84,,26.0,41.0,67.0,67.0,99.0,166.0,163.0,191.0,354.0,2315900.0,3323.076923076923,,195,195,184,184,0.0,1.0,5,4,Técnico en Acuicultura y Pesca,1431508.93,1.6100000000000003,5793073.076923077,0.3
Técnico en Administración Financiera y Finanzas,Administración y Comercio,Centros de Formación Técnica / Institutos Profesionales,2,1171410.7877223426,1199579.6392190892,1251410.9652060736,1310540.1459652928,1390967.4487852494,649731.5359652928,830131.6638394793,1123522.8122342734,1494295.13681128,2096643.1476572668,672272.506659436,874094.3629501085,1200843.8153362256,1662868.994034707,2293852.1153579173,0.64,0.65,0.67,0.68,0.71,0.69,0.72,0.77,0.7,0.73,0.7042516268980478,0.7430585683297181,4.848438177874187,6.871062906724512,0.7470932754880695,,260.0,201.0,461.0,32.0,33.0,65.0,128.0,110.0,238.0,2205216.9811320757,227798.7421383648,,90,0,65,0,0.949685534591195,1.0,21,4,Técnico en Administración Financiera y Finanzas,1310540.1459652928,2.0226247288503245,5573727.8430469725,0.4
Técnico en Administración Pública o Municipal,Ciencias Sociales,Centros de Formación Técnica / Institutos Profesionales,2,1135845.0757091562,1192895.7762118492,1274206.5233034112,1354933.0518132856,1436255.6105924593,631831.8736445243,749252.5043806105,991540.1075763016,1314247.288384201,1777636.0200359067,786493.0015260323,996121.763967684,1256629.2756732495,1642390.0604667864,2020155.7468402155,0.88508078994614,0.8553680430879713,0.7869658886894075,0.7897127468581687,0.8056552962298025,0.9434829443447037,0.9172531418312387,0.8931956912028726,0.8229084380610413,0.8218850987432674,0.7934829443447037,0.8394254937163377,4.825780969479354,5.8895870736086176,0.6459425493716338,,752.0,362.0,1114.0,1447.0,589.0,2036.0,3162.0,1367.0,4529.0,2018761.0952627491,173935.94745016826,,3710,1598,1640,733,0.6109241522133058,1.0,131,29,Técnico en Administración Pública o Municipal,1354933.0518132856,1.063806104129264,5044985.385172304,0.3
Técnico en Administración de Empresas,Administración y Comercio,Centros de Formación Técnica / Institutos Profesionales / Universidades,3,1130647.1460182336,1160567.2139213828,1193872.4156689558,1253426.2947466257,1303809.6498993605,597319.8455434525,729629.5983874024,962922.5129220933,1337172.7878344778,1844862.4026249112,637923.9182370353,807446.7105103008,1090535.734514563,1535932.968934407,2179207.423945063,0.6381281079801089,0.6869973952166706,0.686206488278475,0.6933104428131661,0.6907565711579448,0.6868138763911911,0.7121300023679848,0.7469725313757992,0.7055493724840162,0.7173123372010418,0.6894423395690268,0.7221548662088564,4.634436419606915,6.045389533506985,0.6725787354960928,,5558.0,2888.0,8446.0,7814.0,4595.0,12409.0,17641.0,10079.0,27721.0,2331198.1019037473,248408.18981888925,,15602,8693,9246,5345,0.4655148455231831,1.0,439,46,Técnico en Administración de Empresas,1253426.2947466257,1.41095311390007,5650302.882209509,0.4
Técnico en Administración de Recursos Humanos y Personal,Administración y Comercio,Centros de Formación Técnica / Institutos Profesionales / Universidades,3,1032072.4831843576,1041372.6724022345,1069169.5094972067,1131637.06273743,1202511.9924581004,617227.434916201,725192.7579608939,927920.7533519552,1288515.2690223462,1790831.6497206704,626433.5246927374,803181.3634357541,1018877.019301676,1368199.9134636873,1834085.8240782123,0.6310055865921789,0.6784078212290504,0.716731843575419,0.7049441340782122,0.6983240223463686,0.6646927374301677,0.7018994413407821,0.76,0.7460335195530726,0.7405307262569832,0.7058379888268156,0.7446927374301675,4.93927374301676,6.250111731843576,0.6882960893854748,,879.0,195.0,1074.0,1095.0,263.0,1358.0,2837.0,657.0,3494.0,2128791.6444715946,124346.82345754429,,2300,862,1270,471,0.6652412950519242,1.0,66,17,Técnico en Administración de Recursos Humanos y Personal,1131637.06273743,1.3108379888268162,5381689.160403553,0.4
Técnico en Administración de Redes y Soporte,Tecnología,Institutos Profesionales,1,1428586.52,1344987.17,1269000.18,1256914.14,1275604.59,702578.48,914993.94,1238497.64,1847982.75,2798557.36,665775.51,815657.16,1073077.69,1486041.31,1998440.43,0.69,0.81,0.86,0.87,0.89,0.76,0.78,0.89,0.83,0.84,0.87,0.85,4.57,5.95,0.59,,20.0,206.0,226.0,105.0,681.0,786.0,240.0,1603.0,1843.0,2407691.249356002,140424.2658423493,,1886,400,895,164,0.8088614116434827,1.0,43,13,Técnico en Administración de Redes y Soporte,1256914.14,1.38,5641998.7706208145,0.4
Técnico en Alimentos,Tecnología,Institutos Profesionales / Universidades,2,839473.0557894738,945216.8484210526,1015248.9857894738,1113246.148,1145753.0616842106,569335.6257894738,713589.9310526316,814836.4753684211,941299.2692631581,1180163.9388421052,705898.0731578947,803742.4734736843,1031484.2136842104,1336844.9057894736,1689933.6944210527,0.6479999999999999,0.6616842105263158,0.6264210526315789,0.6027368421052631,0.57,0.7763157894736842,0.7426315789473685,0.6736842105263158,0.6773684210526315,0.6836842105263158,0.6082105263157895,0.6791578947368421,4.89,5.73,0.6728421052631579,,70.0,25.0,95.0,47.0,45.0,92.0,141.0,110.0,251.0,2700263.4204275534,94144.89311163896,,303,303,175,175,0.0,1.0,14,8,Técnico en Alimentos,1113246.148,0.8400000000000007,6696288.9560570065,0.5
Técnico en Comercio Exterior,Administración y Comercio,Centros de Formación Técnica / Institutos Profesionales / Universidades,3,1056344.3759618008,1123458.6967803547,1158307.8712960435,1194084.2199454298,1280491.4520190996,626043.0372169168,742634.0331787175,946640.9571623466,1266006.7848431105,1705829.6824010916,684253.7277353343,860164.3435061391,1099819.581882674,1435378.1927967258,1898895.0448840384,0.6652957746478874,0.7382535211267607,0.8117746478873238,0.7452957746478873,0.7458873239436619,0.7470704225352114,0.7488169014084508,0.821774647887324,0.7870704225352112,0.7811830985915493,0.7606821282401091,0.7946521145975443,4.632394366197183,6.484591549295774,0.6902046384720327,,419.0,314.0,733.0,843.0,559.0,1402.0,1643.0,1243.0,2886.0,2388107.587511826,138934.9574266793,,1983,1001,932,531,0.43235572374645226,1.0,43,20,Técnico en Comercio Exterior,1194084.2199454298,1.8521971830985908,5670263.024557943,0.4
Técnico en Computación e Informática,Tecnología,Centros de Formación Técnica / Institutos Profesionales / Universidades,3,1183689.068290413,1319376.643118213,1471007.248324542,1579144.259996897,1671308.2300899783,609460.8300527459,730002.0085758611,965079.6762581446,1324680.357939808,1940498.0678591377,694179.8126155757,934749.3676512566,1411328.9188923363,2114917.079742476,3044203.009540801,0.681526528079429,0.7141172820353707,0.7362984796773193,0.7046788706174373,0.661275209432206,0.7368383493639467,0.7891405522804841,0.8278870617437171,0.7899689730065156,0.7576202295997517,0.7002264970524358,0.785774123487434,4.712221532733478,6.672686937635744,0.6910487123797703,,459.0,2764.0,3223.0,1149.0,5161.0,6310.0,2593.0,12702.0,15295.0,2529496.914505382,199353.80287032292,,8129,5697,3983,2357,0.4282931829830856,1.0,222,35,Técnico en Computación e Informática,1579144.259996897,1.9604654049022656,6159128.7166279005,0.3
Técnico en Comunicación Audiovisual,Arte y Arquitectura,Institutos Profesionales,1,840692.78,865594.8600000001,871515.8999999999,929647.74,923031.6100000001,543746.3,603854.2,735667.32,981384.03,1520230.47,559692.8,650508.69,805160.44,1024502.41,1261850.51,0.27,0.43999999999999995,0.44999999999999996,0.37,0.42,0.43999999999999995,0.42,0.56,0.44999999999999996,0.44999999999999996,0.42,0.48,4.99,6.41,0.72,,44.0,115.0,159.0,57.0,155.0,212.0,154.0,432.0,586.0,3175482.421875,211765.625,,230,230,213,213,0.0,1.0,9,4,Técnico en Comunicación Audiovisual,929647.74,1.42,8134594.267578125,0.7
Técnico en Construcción y Obras Civiles,Tecnología,Centros de Formación Técnica / Institutos Profesionales / Universidades,3,1129574.7925895029,1148358.9723183871,1177270.1566875216,1215003.8892318388,1301264.6567361837,591763.0342961418,717432.4342648592,969838.7918491485,1378054.5268960723,1978001.2724748,605855.4493639207,781523.23637122,1085065.901397289,1521143.3063607926,2092282.7557803264,0.5336739659367397,0.6417657281890858,0.6681856100104275,0.629822732012513,0.6344456030587418,0.5969760166840459,0.66,0.6954675008689607,0.6612095933263816,0.641515467500869,0.6440180743830379,0.6673201251303441,4.652533889468196,6.523013555787278,0.6175912408759124,,536.0,2341.0,2877.0,647.0,3669.0,4316.0,1346.0,8031.0,9377.0,2506691.4695931165,243197.1586699723,,5703,4821,3230,2738,0.07175149482280885,1.0,169,28,Técnico en Construcción y Obras Civiles,1215003.8892318388,1.8704796663190821,6074430.665031377,0.4
Técnico en Contabilidad General,Administración y Comercio,Centros de Formación Técnica / Institutos Profesionales,2,1105517.615736465,1142986.5426910827,1207616.1490127388,1292474.537575637,1368988.1443232484,594958.8411584395,713533.434522293,905583.8169347135,1224273.6191003185,1809879.2184673566,662933.5639570063,831245.8051592356,1135568.214964172,1584798.0396257963,2208414.3317436306,0.6406767515923567,0.69,0.71,0.7038972929936306,0.6938972929936306,0.7267794585987262,0.7203383757961783,0.7871178343949046,0.7706767515923567,0.7506767515923566,0.7003383757961783,0.7638972929936306,4.756604299363056,6.428809713375797,0.7028821656050955,,1725.0,787.0,2512.0,1835.0,938.0,2773.0,4698.0,2274.0,6972.0,2326833.2322809277,230374.11404639174,,4327,1680,2422,997,0.6230670103092784,1.0,124,21,Técnico en Contabilidad General,1292474.537575637,1.6722054140127405,5764286.592330541,0.4
"Técnico en Deporte, Recreación y Preparación Física",Educación,Centros de Formación Técnica / Institutos Profesionales / Universidades,3,840921.820167364,850250.5319665271,887976.0140585775,889020.0643933053,945048.5385355649,543302.909288703,614877.1254393306,747071.4304184101,952673.9033054393,1337319.3331380757,558873.100711297,645951.7059832636,827781.9879916317,1072127.5119246861,1442341.7217154813,0.2557322175732218,0.3134309623430962,0.3889958158995816,0.38125523012552304,0.37682008368200837,0.3142677824267782,0.4165690376569038,0.44154811715481174,0.44627615062761505,0.4425523012552301,0.3822594142259415,0.4442677824267783,4.979665271966527,6.363891213389121,0.7287029288702929,,456.0,1456.0,1912.0,907.0,3155.0,4062.0,2285.0,7570.0,9855.0,2530626.5575833856,70227.50157331655,,3727,3667,4023,3984,0.011537654709460887,1.0,100,12,"Técnico en Deporte, Recreación y Preparación Física",889020.0643933053,1.384225941422594,6371064.09413041,0.6
Técnico en Dibujo Arquitectónico,Arte y Arquitectura,Institutos Profesionales,1,849611.75,903010.54,987150.39,1046250.94,1140108.56,579983.52,661608.08,819056.63,1011226.02,1262323.59,619614.34,756988.88,980246.0,1299422.05,2001321.64,0.56,0.59,0.64,0.57,0.54,0.68,0.62,0.73,0.7,0.68,0.59,0.7,5.0,6.54,0.72,,86.0,139.0,225.0,89.0,157.0,246.0,280.0,482.0,762.0,2670046.296296296,0.0,,160,160,143,143,0.0,1.0,24,2,Técnico en Dibujo Arquitectónico,1046250.94,1.54,6675115.740740741,0.5
Técnico en Diseño Gráfico,Arte y Arquitectura,Institutos Profesionales,1,914509.2,839185.1,859415.07,863093.75,934014.29,544486.29,631673.86,806124.27,1113258.77,1853222.93,550824.91,649758.06,839647.42,1104137.24,1277681.05,0.27,0.24,0.48,0.38,0.52,0.41,0.38,0.38,0.52,0.45,0.48,0.46,4.77,6.09,0.63,,121.0,102.0,223.0,193.0,159.0,352.0,528.0,415.0,943.0,2497662.6702269693,123081.85046728973,,1998,1427,395,178,0.5874499332443257,1.0,66,7,Técnico en Diseño Gráfico,863093.75,1.3200000000000003,6080007.318958611,0.6
Técnico en Electricidad y Electricidad Industrial,Tecnología,Centros de Formación Técnica / Institutos Profesionales / Universidades,3,1265875.967652174,1318900.1447686956,1381740.4978956522,1419622.9543165218,1495976.0791408694,628302.7823513043,796044.9203304347,1061692.4672486954,1527886.911158261,2236871.039116522,745109.03,946207.2488000001,1310968.3306052173,1836635.2696939134,2624841.159332174,0.6667791304347827,0.7721113043478262,0.7863060869565216,0.776184347826087,0.7808521739130434,0.7270365217391305,0.7884973913043479,0.8246017391304348,0.8184173913043478,0.8,0.7770365217391304,0.8142086956521739,4.828699130434783,6.287081739130435,0.6832208695652174,,122.0,2753.0,2875.0,440.0,6394.0,6834.0,843.0,13877.0,14720.0,2517475.9617322222,249757.96861073436,,7388,6218,4866,4043,0.1663437318349157,1.0,223,34,Técnico en Electricidad y Electricidad Industrial,1419622.9543165218,1.4583826086956515,6327824.962264161,0.4
Técnico en Electromecánica,Tecnología,Institutos Profesionales,1,1077527.11,1196766.47,1226714.49,1298724.43,1341674.42,684020.15,821881.22,1093121.72,1403342.8,1736670.31,727972.59,942518.54,1202457.7,1571988.68,2193883.75,0.75,0.84,0.82,0.8,0.79,0.77,0.85,0.87,0.83,0.77,0.81,0.83,4.84,6.04,0.75,,10.0,124.0,134.0,14.0,69.0,83.0,56.0,352.0,408.0,2447038.577441077,288442.7272727273,,525,525,285,285,0.0,1.0,21,9,Técnico en Electromecánica,1298724.43,1.2000000000000002,6210276.084680134,0.4
Técnico en Electrónica y Electrónica Industrial,Tecnología,Centros de Formación Técnica / Universidades,2,975464.1055045872,1090282.9532110093,1153372.728440367,1289587.7154128442,1399112.3411926606,566174.3511926605,643196.8451376148,814967.7448623853,1119108.545504587,1778909.5194495413,679366.1540366971,939815.4491743121,1277211.1907339452,1816305.853944954,2507851.98706422,0.6618348623853211,0.7060550458715598,0.7011926605504588,0.7104587155963302,0.6621100917431192,0.68,0.7744036697247706,0.8683486238532111,0.8232110091743118,0.7495412844036697,0.6990825688073394,0.7978899082568808,4.048807339449541,6.918715596330275,0.6207339449541284,,3.0,106.0,109.0,15.0,153.0,168.0,25.0,319.0,344.0,3260000.0,129000.0,,163,163,73,73,0.0,1.0,5,2,Técnico en Electrónica y Electrónica Industrial,1289587.7154128442,2.8699082568807333,6728555.963302753,0.4
Técnico en Energía,Tecnología,Institutos Profesionales,1,940791.0,985420.39,1095655.59,1147533.86,1430417.18,612463.72,694873.07,795349.73,1042498.38,1390463.27,601782.2,788987.46,946800.25,1209515.83,2514673.74,,,,,,,,,,,0.67,0.7,4.97,6.86,0.77,,15.0,110.0,125.0,23.0,120.0,143.0,59.0,299.0,358.0,2396083.5023041475,131130.0,,632,462,205,86,0.4608294930875576,1.0,21,9,Técnico en Energía,1147533.86,1.8900000000000006,6085397.503225806,0.4
Técnico en Enfermería,Salud,Centros de Formación Técnica / Institutos Profesionales / Universidades,3,793335.1871275528,838354.428844995,868408.0497271509,894658.9054335452,922234.6937880816,555791.7044065952,627430.3106486441,750225.3372380314,895922.9318630733,1071006.8889010714,619588.1272623034,727840.7377276532,874410.3883645799,1033933.5423267493,1242773.892856545,0.6510713090056914,0.7739127887512555,0.7082524271844661,0.6287152661533312,0.5830682959491128,0.7097731837964514,0.80890609306997,0.7521744224974891,0.7034725477067291,0.6724012387010379,0.6415341479745564,0.7093463341144962,5.014330431871443,5.941226146635421,0.7304176431201874,,10099.0,1849.0,11948.0,13338.0,2477.0,15816.0,36511.0,6991.0,43503.0,2699910.5453192643,253418.03179112554,,15191,15121,14035,13967,0.004761904761904745,1.0,324,40,Técnico en Enfermería,894658.9054335452,0.9268957147639778,7022539.83715363,0.7
Técnico en Farmacia,Salud,Centros de Formación Técnica / Institutos Profesionales,2,901948.4616257669,940731.2770552146,974266.0108077709,1022900.627402863,1043016.9235378323,618272.1690797546,710486.0058282209,876666.0497648261,1088101.6316666668,1285632.5873210635,680450.5187014315,804716.9910327198,941519.3773312883,1158037.7703067486,1402963.6071574644,0.7743762781186094,0.7999999999999999,0.7484355828220859,0.7887525562372187,0.8031288343558282,0.8131288343558283,0.8887525562372188,0.8756237218813906,0.7868711656441718,0.7931288343558283,0.7843762781186094,0.8028118609406952,4.9640593047034764,5.918773006134969,0.7137423312883435,,751.0,227.0,978.0,1621.0,460.0,2081.0,3850.0,1045.0,4895.0,2348982.610188573,137013.79116239797,,3005,2350,1446,1081,0.3169152828595553,1.0,70,13,Técnico en Farmacia,1022900.627402863,0.9547137014314924,5967258.2825090205,0.5
Técnico en Gastronomía y Cocina,Administración y Comercio,Centros de Formación Técnica / Institutos Profesionales,2,738378.4856512605,775717.8020438175,793105.0085264106,824881.224429772,867090.4226140457,537693.6309183673,586555.9378241296,678004.5870858344,814024.5225690275,1000841.5826920768,551622.3891236495,625314.7841806723,765100.8263985594,951562.3544627851,1284975.3857713083,0.20733793517406962,0.3729351740696279,0.44853241296518614,0.4358703481392557,0.40027310924369747,0.27293517406962786,0.3917406962785114,0.5029351740696278,0.4955972388955582,0.4758703481392557,0.4258703481392557,0.4914675870348139,4.3609903961584635,6.434231692677071,0.7670648259303722,,1920.0,1412.0,3332.0,3241.0,2519.0,5760.0,6769.0,5596.0,12365.0,3111947.7248345525,185255.762800418,,6054,6054,2490,2490,0.0,1.0,113,15,Técnico en Gastronomía y Cocina,824881.224429772,2.0732412965186073,6970842.83347575,0.7
