Área Carrera Genérica,Área,tipos_institucion,n_tipos_institucion,1er año,2° año,3er año,4° año,5° año,10% inferior 1er año,25% inferior 1er año,Percentil 50 1er año,25% superior 1er año,10% superior 1er año,10% inferior 5° año,25% inferior 5° año,Percentil 50 5° año,25% superior 5° año,10% superior 5° año,Empleabilidad 1er año - 2020,Empleabilidad 1er año - 2021,Empleabilidad 1er año - 2022,Empleabilidad 1er año - 2023,Empleabilidad 1er año - 2024,Empleabilidad 2° año - 2020,Empleabilidad 2° año - 2021,Empleabilidad 2° año - 2022,Empleabilidad 2° año - 2023,Empleabilidad 2° año - 2024,Empleabilidad 1er año,Empleabilidad 2° año,Duración Formal,Duración Real,Retención 1er año,Retención 2° año,Titulados Mujeres,Titulados Hombres,Titulados Total,Matrícula 1er año Mujeres,Matrícula 1er año Hombres,Total Matrícula 1er año,Matrícula Total Mujeres,Matrícula Total Hombres,Matrícula Total,arancel_valor,titulacion_valor,puntaje_corte_paes,vacantes_total,vacantes_presencial,matricula_1er_total,matricula_1er_presencial,pct_matricula_distancia,prop_programas_acreditados,n_programas,n_instituciones,carrera_tipo,ingreso_4to_anio_valor,brecha_duracion,costo_total_carrera,anios_recuperar_inversion
Nutrición y Dietética,Salud,Institutos Profesionales / Universidades,2,865452.8206249999,995251.9228125,1087207.7771875,1170003.6853125,1246873.4068749999,554096.77625,615224.091875,779105.47375,1005142.27625,1242767.3465625,641553.6525,823090.4184375,1160069.620625,1561264.1243750001,1964873.6003124998,0.355,0.5787499999999999,0.533125,0.41812499999999997,0.4,0.5390625000000001,0.6653125000000001,0.7006249999999999,0.625,0.5862499999999999,0.4571875,0.61625,9.9903125,12.5753125,0.794375,0.713125,1579.0,277.0,1856.0,2257.0,752.0,3009.0,11081.0,3057.0,14138.0,5498243.329872029,179305.8513345521,592.9141884566327,3503,3503,2995,2995,0.0,1.0,63,36,Nutrición y Dietética,1170003.6853125,2.585000000000001,27643890.38456563,2.0
Obstetricia y Puericultura,Salud,Universidades,1,1164784.3,1392567.56,1559825.42,1672113.28,1784176.4,585340.99,710492.3,991002.64,1314090.86,1612263.66,1052381.49,1393102.36,1715193.33,2063204.77,2409629.14,0.86,0.94,0.89,0.74,0.55,0.97,0.97,0.92,0.89,0.82,0.69,0.86,10.0,12.26,0.91,0.86,1975.0,97.0,2072.0,2631.0,69.0,2700.0,12689.0,430.0,13119.0,6139271.973325158,166382.7062701211,667.9769045194643,2621,2621,2649,2649,0.0,1.0,38,27,Obstetricia y Puericultura,1672113.28,2.26,30862742.572895907,1.5
Odontología,Salud,Universidades,1,1311241.18,1517376.24,1689035.4700000002,1848602.17,1998135.45,582648.02,708821.27,1009134.31,1504455.23,2179488.72,706177.6999999998,1017373.6,1582599.79,2342750.32,3091390.54,0.49,0.84,0.76,0.58,0.49,0.6999999999999998,0.87,0.82,0.76,0.6999999999999998,0.63,0.74,11.92,15.07,0.88,0.84,1226.0,555.0,1781.0,1876.0,815.0,2691.0,10250.0,4561.0,14811.0,10228505.952743292,137263.2458950741,696.9014729675612,2751,2751,2604,2604,0.0,1.0,29,20,Odontología,1848602.17,3.1500000000000004,61099158.724245094,2.8
Pedagogía en Artes y Música,Educación,Universidades,1,895085.61,1014973.8200000001,1042976.8499999999,1093629.83,1132305.09,584854.46,705686.82,901061.52,1091262.25,1230318.49,681280.4,927679.87,1123112.21,1299366.05,1456874.91,0.66,0.58,0.7899999999999999,0.7600000000000001,0.72,0.81,0.77,0.8499999999999999,0.8,0.81,0.75,0.8200000000000001,9.74,11.849999999999998,0.8200000000000001,0.7399999999999999,186.0,180.0,366.0,269.0,283.0,552.0,1164.0,1225.0,2389.0,4409588.977844914,230832.7713997986,619.1627477785372,580,580,535,535,0.0,1.0,18,13,Pedagogía en Artes y Música,1093629.83,2.1099999999999977,21705531.093504533,1.7
Pedagogía en Ciencias,Educación,Universidades,1,1067553.63,1176631.84,1242014.07,1279797.18,1307293.03,724650.54,864193.67,1076088.92,1275615.27,1488833.93,879733.2,1127531.34,1328733.03,1508358.2,1749936.94,0.85,0.88,0.89,0.91,0.89,0.94,0.94,0.88,0.9,0.92,0.9,0.9,9.53,11.84,0.8,0.69,304.0,223.0,527.0,362.0,231.0,593.0,1339.0,988.0,2327.0,4502404.851891892,147328.54054054053,640.8499809523811,697,697,543,543,0.0,1.0,30,17,Pedagogía en Ciencias,1279797.18,2.3100000000000005,21601287.659805402,1.4
Pedagogía en Educación Básica,Educación,Universidades,1,1012767.76,1129038.03,1175780.91,1193291.68,1238655.54,681040.04,827517.2099999998,979212.3200000001,1154533.97,1338090.35,865573.4299999999,1044253.4200000002,1221324.93,1369912.18,1587561.19,0.8299999999999998,0.9,0.9200000000000002,0.9,0.9,0.9200000000000002,0.9299999999999999,0.91,0.9200000000000002,0.9200000000000002,0.91,0.9200000000000002,9.53,10.6,0.89,0.8299999999999998,1338.0,183.0,1521.0,1539.0,292.0,1831.0,6367.0,1301.0,7668.0,4578843.621932748,174030.09996970615,616.8778931087814,1778,1778,1780,1780,0.0,1.0,45,34,Pedagogía en Educación Básica,1193291.68,1.0700000000000003,21992219.958479248,1.5
Pedagogía en Educación Diferencial,Educación,Universidades,1,1025194.26,1126646.35,1178295.45,1231829.5,1280448.53,734134.5,866053.72,1015922.27,1176953.87,1357146.99,922700.05,1114237.11,1253615.57,1421165.31,1635321.04,0.89,0.86,0.91,0.92,0.91,0.92,0.93,0.93,0.92,0.93,0.91,0.93,9.47,10.44,0.9,0.84,1834.0,95.0,1929.0,1880.0,125.0,2005.0,9661.0,552.0,10213.0,3964652.989157048,149155.45307216977,571.7190872947277,3923,3223,1895,1895,0.09548793284365165,1.0,60,33,Pedagogía en Educación Diferencial,1231829.5,0.9699999999999989,18921787.356730793,1.3
Pedagogía en Educación Física,Educación,Universidades,1,873690.35,971963.3,1023211.1700000002,1093220.06,1155398.4,556799.86,651148.77,833511.46,1062401.22,1294151.97,651994.33,852645.86,1124960.0,1371241.0,1738191.23,0.33,0.41,0.58,0.58,0.55,0.48999999999999994,0.56,0.68,0.67,0.66,0.57,0.67,9.47,11.08,0.8699999999999999,0.8100000000000002,423.0,882.0,1305.0,559.0,1359.0,1918.0,2289.0,5478.0,7767.0,4408064.564778898,204932.2578743212,593.0812733957217,1802,1802,1756,1756,0.0,1.0,40,28,Pedagogía en Educación Física,1093220.06,1.6099999999999994,21077117.972102404,1.6
Pedagogía en Educación Media,Educación,Universidades,1,948526.28,1139664.28,1226551.14,1307875.93,1352940.52,643280.71,747223.53,943472.7,1069691.67,1176105.65,742694.86,1092848.12,1284646.16,1490564.84,1733847.68,0.82,0.76,0.82,0.83,0.77,0.87,0.93,0.83,0.84,0.86,0.81,0.84,,,,,134.0,112.0,246.0,0.0,0.0,0.0,336.0,270.0,606.0,3097344.7432762836,1307.5794621026894,,273,273,0,0,0.0,1.0,4,2,Pedagogía en Educación Media,1307875.93,,,
Pedagogía en Educación Técnico Profesional,Educación,Universidades,1,1556791.96,1670784.4,1651214.28,1623221.26,1769531.28,843184.92,1133958.4,1479529.41,1795655.58,2141368.84,813748.93,1333053.34,1611468.54,2038567.36,2509774.32,,,,,,,,,,,0.93,0.9,,,,,52.0,50.0,102.0,38.0,34.0,72.0,96.0,96.0,192.0,3586349.4623655914,611422.5806451613,,150,150,72,72,0.0,1.0,4,4,Pedagogía en Educación Técnico Profesional,1623221.26,,,
