ID,Área,Tipo de institución,Área Carrera Genérica,1er año,2° año,3er año,4° año,5° año,10% inferior 1er año,25% inferior 1er año,Percentil 50 1er año,25% superior 1er año,10% superior 1er año,10% inferior 5° año,25% inferior 5° año,Percentil 50 5° año,25% superior 5° año,10% superior 5° año,Ingresos al 4° año 2020,Ingresos al 4° año 2021,Ingresos al 4° año 2022,Ingresos al 4° año 2023,Ingresos al 4° año 2024,Empleabilidad 1er año,Empleabilidad 2° año,Empleabilidad 1er año - 2020,Empleabilidad 1er año - 2021,Empleabilidad 1er año - 2022,Empleabilidad 1er año - 2023,Empleabilidad 1er año - 2024,Empleabilidad 2° año - 2020,Empleabilidad 2° año - 2021,Empleabilidad 2° año - 2022,Empleabilidad 2° año - 2023,Empleabilidad 2° año - 2024,Titulados Mujeres,Titulados Hombres,Titulados Total,Duración Formal,Duración Real,Matrícula 1er año Mujeres,Matrícula 1er año Hombres,Total Matrícula 1er año,Matrícula Total Mujeres,Matrícula Total Hombres,Matrícula Total,Retención 1er año,Retención 2° año,Municipal y Servicios Locales,Particular Subvencionado,Particular Pagado,Administración Delegada
180,Tecnología,Universidades,Ingeniería en Electricidad,1872528.25,1879400.26,1913461.07,2107169.65,2334833.42,814527.26,1091104.21,1662953.6,2534383.42,4043754.47,939723.54,1285280.69,1882079.78,2699278.34,3803651.99,2131212.79,2265763.39,2269166.69,1941205.14,2068426.24,0.87,0.9,0.79,0.89,0.88,0.87,0.87,0.87,0.89,0.92,0.9,0.9,15.0,418.0,433.0,8.52,14.0,24.0,273.0,297.0,108.0,1365.0,1473.0,0.61,0.52,0.31,0.54,0.05,0.1
181,Tecnología,Universidades,Ingeniería en Electrónica,1317741.89,1477309.0,1755056.0,1852042.15,1924353.88,594721.68,883077.16,1190992.7,1795788.65,2268983.93,957047.03,1230611.34,1923964.64,2450172.62,4231432.6,1811755.39,1702309.19,1553844.96,2231291.62,1838331.03,0.82,0.87,0.77,0.88,0.85,0.83,0.77,0.78,0.86,0.93,0.81,0.89,8.0,55.0,63.0,8.76,14.81,11.0,70.0,81.0,22.0,228.0,250.0,0.54,0.48,0.27,0.58,0.08,0.07
182,Ciencias Básicas,Universidades,Ingeniería en Geomensura y Cartografía,1329830.81,1503056.14,1748671.96,1999501.38,2033677.14,637211.03,835951.14,1137470.32,1733238.66,2584636.83,1057596.97,1418508.59,1899408.81,2156595.83,2728892.89,1765852.95,1806415.74,2163075.91,2071683.21,1844329.26,0.88,0.9,0.76,0.86,0.92,0.83,0.89,0.84,0.91,0.91,0.88,0.9,33.0,109.0,142.0,9.21,15.07,8.0,47.0,55.0,87.0,358.0,445.0,0.74,0.66,0.36,0.58,0.02,0.04
183,Ciencias Sociales,Universidades,Ingeniería en Gestión Pública,1580687.79,1816186.72,1829769.04,1947844.95,1975999.85,853938.62,1048191.38,1354947.09,1704759.91,2285534.42,854199.65,1405738.53,1725198.16,1976302.14,2724129.3,1992452.21,2128246.99,1923562.93,1787599.99,2127232.43,0.92,0.98,0.91,0.96,0.93,0.89,0.94,0.95,0.98,0.98,0.97,0.98,69.0,23.0,92.0,8.0,10.89,0.0,0.0,0.0,41.0,21.0,62.0,,0.65,0.26,0.67,0.0,0.08
184,Administración y Comercio,Universidades,Ingeniería en Logística,2067424.03,1891427.31,2013884.39,1941738.25,2107013.85,1066173.59,1514424.54,2052500.21,2978068.95,3593385.56,939644.28,1359285.65,1762114.89,2180598.84,2959426.57,1950360.26,2402790.75,1963491.84,2057473.59,1804671.69,0.96,0.94,0.87,0.92,0.95,0.95,0.97,0.92,0.96,0.97,0.93,0.94,122.0,221.0,343.0,,,0.0,0.0,0.0,322.0,455.0,777.0,,0.36,0.34,0.55,0.04,0.07
185,Ciencias Básicas,Universidades,Ingeniería en Matemática y Estadística,1593843.29,1855718.55,2219664.17,2397935.02,2489711.14,1175397.92,1336634.62,1570390.36,1818158.87,2206833.88,936869.1,1857431.59,2358115.65,2833828.12,3276632.72,,,,,,0.9,0.93,,,,,,,,,,,25.0,56.0,81.0,10.46,13.45,63.0,137.0,200.0,300.0,565.0,865.0,0.67,0.52,0.25,0.66,0.07,0.01
186,Tecnología,Universidades,Ingeniería en Medio Ambiente,1043451.33,1263319.12,1435741.9,1610624.66,1827089.16,639977.95,824196.33,1029714.2,1208458.37,1678676.26,951043.73,1277943.66,1701632.97,2018258.57,2553134.11,1516477.42,1593832.87,1641975.06,1552025.41,1639896.08,0.73,0.85,0.47,0.72,0.78,0.76,0.66,0.77,0.74,0.85,0.86,0.84,137.0,108.0,245.0,9.95,13.88,84.0,88.0,172.0,634.0,565.0,1199.0,0.84,0.73,0.26,0.59,0.13,0.02
187,Tecnología,Universidades,Ingeniería en Metalurgia,1233086.43,1359529.03,1685143.08,2111698.58,2422237.77,675051.51,905754.86,1157541.52,1491435.39,1610138.54,795332.08,1116928.06,1905979.79,3031101.51,4506895.64,2082802.43,1950893.51,2000269.45,2136661.7,2173043.85,0.75,0.89,0.7,0.63,0.57,0.87,0.79,0.7,0.85,0.98,0.81,0.85,12.0,21.0,33.0,8.13,14.45,19.0,47.0,66.0,72.0,185.0,257.0,0.58,0.44,0.45,0.45,0.07,0.03
188,Tecnología,Universidades,Ingeniería en Minas,2192730.77,2431114.19,2295452.71,2514687.49,2707170.53,698797.1,1091449.37,1659981.75,2842181.08,5015261.46,1076954.9,1394910.36,2270126.32,3298421.98,6094274.32,2393057.26,2424318.26,2539656.29,2478085.14,2550415.41,0.84,0.85,0.72,0.76,0.83,0.83,0.85,0.76,0.85,0.9,0.84,0.84,69.0,229.0,298.0,8.29,12.9,45.0,121.0,166.0,280.0,772.0,1052.0,0.67,0.52,0.43,0.5,0.05,0.03
189,Tecnología,Universidades,Ingeniería en Prevención de Riesgos,1656502.23,1656423.66,1717076.44,1812703.37,1911700.49,893270.7,1185843.3,1534688.28,2171947.84,3101525.92,803084.29,1153701.8,1626069.57,2299544.21,2960400.68,1773711.63,1802199.22,1824425.57,1776520.02,1839312.12,0.87,0.88,0.74,0.83,0.85,0.87,0.89,0.82,0.85,0.89,0.87,0.89,176.0,203.0,379.0,8.62,13.74,49.0,42.0,91.0,792.0,498.0,1290.0,0.71,0.58,0.43,0.51,0.02,0.04
190,Tecnología,Universidades,Ingeniería en Química,1233460.22,1370644.69,1526044.7,1696512.43,1698215.71,617793.93,845453.09,1134746.88,1487250.38,1860091.95,975044.19,1262487.38,1517667.08,2110631.59,2521334.57,1377426.99,1329805.71,1767704.26,1590606.3,1718103.29,0.84,0.91,0.55,0.78,0.81,0.85,0.85,0.85,0.71,0.95,0.85,0.94,55.0,45.0,100.0,8.9,13.48,30.0,35.0,65.0,179.0,248.0,427.0,0.65,0.51,0.33,0.56,0.08,0.03
191,Administración y Comercio,Universidades,Ingeniería en Recursos Humanos,845836.75,952704.27,1211934.51,1423498.33,1549503.62,518860.25,774605.18,955000.9,1096329.19,1140622.13,715635.69,911806.78,1293235.62,2093048.44,2969065.75,,,,,,0.69,0.73,,,,,,,,,,,13.0,11.0,24.0,,,13.0,14.0,27.0,110.0,52.0,162.0,0.78,0.63,0.19,0.69,0.03,0.09
192,Tecnología,Universidades,Ingeniería en Recursos Renovables,1158242.87,1294793.83,1383956.62,1552869.53,1739073.98,633134.07,812800.13,980877.99,1426324.83,1883390.22,692938.07,1079092.16,1486445.43,2124383.69,2795956.87,1582552.46,1446456.19,1613048.45,1525452.31,1542047.27,0.68,0.78,0.65,0.66,0.77,0.68,0.63,0.56,0.86,0.78,0.79,0.77,127.0,102.0,229.0,10.0,14.34,172.0,149.0,321.0,903.0,763.0,1666.0,0.85,0.76,0.28,0.51,0.18,0.02
193,Agropecuaria,Universidades,Ingeniería Forestal,1216331.34,1338310.21,1552209.42,1642011.5,1826234.79,732412.74,928309.18,1117589.63,1456360.51,1671892.44,937560.13,1060957.37,1453460.64,2007915.65,2364178.34,,,,,,0.85,0.89,0.63,0.83,0.81,0.88,0.84,0.81,0.79,0.98,0.86,0.86,61.0,62.0,123.0,10.0,13.56,47.0,72.0,119.0,263.0,305.0,568.0,0.8,0.64,0.35,0.52,0.11,0.02
194,Tecnología,Universidades,Ingeniería Industrial,2171851.2,2173366.55,2175607.16,2471354.64,2654834.38,805427.44,1138179.45,1756869.08,2745749.42,4855581.94,902913.93,1345677.88,1955378.5,3077193.76,4686248.11,2452536.49,2488110.96,2662867.49,2423932.36,2310626.9,0.88,0.89,0.8,0.86,0.87,0.89,0.88,0.88,0.89,0.89,0.89,0.9,451.0,1404.0,1855.0,8.44,12.66,227.0,462.0,689.0,1809.0,5693.0,7502.0,0.68,0.55,0.33,0.54,0.05,0.09
195,Tecnología,Universidades,Ingeniería Marina y Marítimo Portuaria,1730390.19,2195523.31,2388674.36,2473743.63,2676463.15,635890.7,810162.28,1101452.97,1944572.48,3167528.48,1080585.07,1844646.75,2682979.47,3178453.27,4586226.37,2352094.46,2545182.96,2346852.39,2492815.47,2652274.79,0.79,0.9,,,,,,,,,,,16.0,63.0,79.0,8.0,12.45,42.0,115.0,157.0,104.0,479.0,583.0,0.84,0.73,0.2,0.68,0.11,0.01
196,Tecnología,Universidades,Ingeniería Mecánica,1467189.18,1567747.8,1810037.3,2064800.08,2303625.29,685104.91,968017.62,1243889.44,1780309.6,2686380.48,904850.82,1315070.51,1850190.34,2708294.1,3985053.61,2008810.61,2144701.43,2019302.84,2192256.9,1945904.9,0.82,0.86,0.71,0.81,0.84,0.84,0.79,0.75,0.86,0.89,0.82,0.88,15.0,258.0,273.0,8.59,14.99,29.0,192.0,221.0,64.0,790.0,854.0,0.59,0.42,0.23,0.62,0.1,0.05
197,Salud,Universidades,Kinesiología,983274.87,1143545.57,1321489.75,1406890.62,1466798.49,550897.97,626961.53,779360.37,1035939.67,1337845.41,697952.29,971877.34,1396783.91,1803654.81,2235429.92,1347391.28,1604853.15,1451554.29,1365878.5,1345677.85,0.52,0.68,0.57,0.84,0.66,0.5,0.4,0.64,0.89,0.81,0.7,0.64,1463.0,1251.0,2714.0,10.0,12.2,2483.0,3142.0,5625.0,11191.0,12747.0,23938.0,0.85,0.79,0.28,0.59,0.11,0.02
198,Humanidades,Universidades,Licenciatura en Letras y Literatura,803831.56,951380.78,1029564.0,1152079.72,1209841.45,549512.93,579871.43,786662.33,987041.12,1196294.3,692967.69,897495.53,1174798.5,1419531.42,1773582.83,1224522.2,1152873.2,1167463.77,1090146.11,1206674.93,0.35,0.59,0.32,0.33,0.35,0.4,0.3,0.57,0.59,0.59,0.6,0.57,248.0,104.0,352.0,8.22,10.16,352.0,144.0,496.0,1549.0,588.0,2137.0,0.84,0.77,0.24,0.53,0.22,0.01
199,Salud,Universidades,Medicina,2758297.34,3264129.04,3363001.27,3719393.07,4280719.56,1054499.75,1760284.73,2478339.62,3157063.93,3880989.82,2126547.67,3093510.03,4121740.98,5347169.82,6701042.44,4005075.43,4067056.53,3793567.89,3741306.26,3295855.58,0.91,0.89,0.9,0.96,0.92,0.91,0.89,0.9,0.91,0.79,0.9,0.9,1331.0,1099.0,2430.0,13.89,15.08,1926.0,1283.0,3209.0,12594.0,8635.0,21230.0,0.96,0.94,0.14,0.39,0.46,0.0
200,Agropecuaria,Universidades,Medicina Veterinaria,1035455.7,1158545.25,1251232.05,1379384.8,1469493.13,562193.32,670245.59,892274.87,1196231.97,1560141.34,729570.34,932049.99,1271317.2,1755478.55,2393437.44,1418696.14,1405417.31,1400460.5,1383460.26,1342248.12,0.66,0.74,0.6,0.72,0.73,0.68,0.59,0.68,0.78,0.73,0.73,0.75,1098.0,387.0,1485.0,10.07,14.36,3299.0,1142.0,4441.0,16030.0,5341.0,21371.0,0.86,0.79,0.26,0.59,0.13,0.02
201,Arte y Arquitectura,Universidades,"Música, Canto o Danza",917052.44,1004635.07,1098530.77,1116139.91,1209957.73,575264.42,674194.5,832614.62,1057653.06,1288576.38,664873.57,869686.26,1186362.46,1541096.76,2293769.92,1161643.42,1129554.03,1089689.73,1190125.96,1021665.97,0.45,0.54,0.45,0.44,0.46,0.48,0.42,0.49,0.54,0.59,0.49,0.56,193.0,214.0,407.0,10.03,12.77,299.0,355.0,654.0,1350.0,1727.0,3078.0,0.8,0.69,0.3,0.52,0.15,0.03
202,Salud,Universidades,Nutrición y Dietética,867390.69,996904.75,1090500.19,1176047.02,1252893.7,553659.36,614703.22,782180.34,1009135.71,1246086.61,641182.32,826814.14,1166751.76,1572938.01,1972366.46,1149053.37,1251217.71,1181091.2,1179677.1,1153883.69,0.46,0.62,0.36,0.58,0.54,0.42,0.4,0.54,0.67,0.7,0.63,0.59,1532.0,266.0,1798.0,9.99,12.56,2168.0,726.0,2894.0,10600.0,2928.0,13528.0,0.8,0.72,0.3,0.59,0.09,0.02
203,Salud,Universidades,Obstetricia y Puericultura,1164784.3,1392567.56,1559825.42,1672113.28,1784176.4,585340.99,710492.3,991002.64,1314090.86,1612263.66,1052381.49,1393102.36,1715193.33,2063204.77,2409629.14,1835079.34,1860532.84,1720966.59,1658776.99,1591555.5,0.69,0.86,0.86,0.94,0.89,0.74,0.55,0.97,0.97,0.92,0.89,0.82,1975.0,97.0,2072.0,10.0,12.26,2631.0,69.0,2700.0,12689.0,430.0,13119.0,0.91,0.86,0.27,0.62,0.1,0.01
204,Salud,Universidades,Odontología,1311241.18,1517376.24,1689035.47,1848602.17,1998135.45,582648.02,708821.27,1009134.31,1504455.23,2179488.72,706177.7,1017373.6,1582599.79,2342750.32,3091390.54,1871513.22,2341886.23,1952249.62,1729932.43,1884263.81,0.63,0.74,0.49,0.84,0.76,0.58,0.49,0.7,0.87,0.82,0.76,0.7,1226.0,555.0,1781.0,11.92,15.07,1876.0,815.0,2691.0,10250.0,4561.0,14811.0,0.88,0.84,0.19,0.56,0.24,0.01
205,Educación,Universidades,Pedagogía en Artes y Música,895085.61,1014973.82,1042976.85,1093629.83,1132305.09,584854.46,705686.82,901061.52,1091262.25,1230318.49,681280.4,927679.87,1123112.21,1299366.05,1456874.91,1098863.48,1110988.55,1108757.32,1074655.2,1100634.91,0.75,0.82,0.66,0.58,0.79,0.76,0.72,0.81,0.77,0.85,0.8,0.81,186.0,180.0,366.0,9.74,11.85,269.0,283.0,552.0,1164.0,1225.0,2389.0,0.82,0.74,0.37,0.56,0.06,0.01
206,Educación,Universidades,Pedagogía en Ciencias,1067553.63,1176631.84,1242014.07,1279797.18,1307293.03,724650.54,864193.67,1076088.92,1275615.27,1488833.93,879733.2,1127531.34,1328733.03,1508358.2,1749936.94,1250062.41,1272456.21,1275141.38,1281894.87,1284575.49,0.9,0.9,0.85,0.88,0.89,0.91,0.89,0.94,0.94,0.88,0.9,0.92,304.0,223.0,527.0,9.53,11.84,362.0,231.0,593.0,1339.0,988.0,2327.0,0.8,0.69,0.34,0.59,0.05,0.02
207,Educación,Universidades,Pedagogía en Educación Básica,1012767.76,1129038.03,1175780.91,1193291.68,1238655.54,681040.04,827517.21,979212.32,1154533.97,1338090.35,865573.43,1044253.42,1221324.93,1369912.18,1587561.19,1213168.09,1225735.85,1179151.3,1183733.7,1221516.53,0.91,0.92,0.83,0.9,0.92,0.9,0.9,0.92,0.93,0.91,0.92,0.92,1338.0,183.0,1521.0,9.53,10.6,1539.0,292.0,1831.0,6367.0,1301.0,7668.0,0.89,0.83,0.36,0.52,0.09,0.03
208,Educación,Universidades,Pedagogía en Educación de Párvulos,868042.49,950848.31,1007648.29,1058550.05,1123066.53,570256.07,662408.56,805574.97,990352.15,1197087.31,692339.18,881545.78,1123662.3,1322128.73,1468144.56,1147162.1,1143722.78,1055543.47,1061232.83,1058559.03,0.71,0.8,0.6,0.69,0.77,0.69,0.66,0.68,0.76,0.82,0.82,0.75,1432.0,2.0,1434.0,8.9,10.22,2005.0,9.0,2014.0,12058.0,43.0,12101.0,0.89,0.83,0.38,0.52,0.06,0.04
209,Educación,Universidades,Pedagogía en Educación Diferencial,1025194.26,1126646.35,1178295.45,1231829.5,1280448.53,734134.5,866053.72,1015922.27,1176953.87,1357146.99,922700.05,1114237.11,1253615.57,1421165.31,1635321.04,1315979.93,1290026.77,1232916.53,1234682.0,1225424.5,0.91,0.93,0.89,0.86,0.91,0.92,0.91,0.92,0.93,0.93,0.92,0.93,1834.0,95.0,1929.0,9.47,10.44,1880.0,125.0,2005.0,9661.0,552.0,10213.0,0.9,0.84,0.36,0.58,0.03,0.04
210,Educación,Universidades,Pedagogía en Educación Física,873690.35,971963.3,1023211.17,1093220.06,1155398.4,556799.86,651148.77,833511.46,1062401.22,1294151.97,651994.33,852645.86,1124960.0,1371241.0,1738191.23,1080591.18,1090039.17,1061538.22,1101296.08,1121504.05,0.57,0.67,0.33,0.41,0.58,0.58,0.55,0.49,0.56,0.68,0.67,0.66,423.0,882.0,1305.0,9.47,11.08,559.0,1359.0,1918.0,2289.0,5478.0,7767.0,0.87,0.81,0.35,0.56,0.07,0.02
211,Educación,Universidades,Pedagogía en Educación Media,948526.28,1139664.28,1226551.14,1307875.93,1352940.52,643280.71,747223.53,943472.7,1069691.67,1176105.65,742694.86,1092848.12,1284646.16,1490564.84,1733847.68,1305177.23,1253338.34,1385796.36,1279502.44,1273507.55,0.81,0.84,0.82,0.76,0.82,0.83,0.77,0.87,0.93,0.83,0.84,0.86,134.0,112.0,246.0,,,0.0,0.0,0.0,336.0,270.0,606.0,,,0.34,0.5,0.14,0.03
212,Educación,Universidades,Pedagogía en Educación Técnico Profesional,1556791.96,1670784.4,1651214.28,1623221.26,1769531.28,843184.92,1133958.4,1479529.41,1795655.58,2141368.84,813748.93,1333053.34,1611468.54,2038567.36,2509774.32,,,,,,0.93,0.9,,,,,,,,,,,52.0,50.0,102.0,,,38.0,34.0,72.0,96.0,96.0,192.0,,,0.36,0.51,0.02,0.11
213,Educación,Universidades,Pedagogía en Filosofía y Religión,1566876.23,1657753.56,1227387.06,1256068.94,1238267.62,594467.36,830099.23,1185091.96,1556867.28,1874263.42,994326.77,1073506.55,1217394.92,1449777.31,1608754.55,,,,,,0.79,0.83,0.81,0.7,0.84,0.73,0.77,0.85,0.91,0.89,0.83,0.77,48.0,49.0,97.0,9.89,13.23,58.0,57.0,115.0,224.0,312.0,536.0,0.75,0.69,0.33,0.55,0.09,0.02
214,Educación,Universidades,"Pedagogía en Historia, Geografía y Ciencias Sociales",920022.68,1030889.66,1076437.19,1129321.06,1192397.88,603408.74,741471.26,918187.82,1104919.08,1265211.04,697023.38,941585.87,1200491.85,1402763.39,1607508.07,1149980.05,1195075.96,1091910.49,1143990.1,1158299.81,0.74,0.82,0.57,0.57,0.75,0.74,0.72,0.72,0.72,0.83,0.81,0.82,244.0,288.0,532.0,9.84,11.77,300.0,372.0,672.0,1322.0,1722.0,3044.0,0.85,0.77,0.35,0.58,0.05,0.02
215,Educación,Universidades,Pedagogía en Idiomas,882696.35,997130.1,1046305.31,1074271.39,1122627.29,571797.25,676051.65,854965.49,1040562.5,1236244.52,652885.87,844849.98,1105102.04,1327488.81,1563402.39,1106762.94,1112708.31,1043964.5,1072728.95,1109242.34,0.63,0.75,0.55,0.54,0.67,0.64,0.58,0.7,0.69,0.76,0.76,0.72,686.0,303.0,989.0,9.74,11.63,1218.0,590.0,1808.0,5340.0,2750.0,8091.0,0.84,0.75,0.33,0.59,0.06,0.02
216,Educación,Universidades,"Pedagogía en Lenguaje, Comunicación y/o Castellano",982285.34,1112044.69,1159678.22,1200218.04,1253572.23,642521.29,831104.87,986726.47,1155648.63,1293314.74,806922.9,1052811.67,1255271.44,1418513.88,1574729.57,1255042.72,1282045.41,1211001.97,1190593.53,1201774.4,0.83,0.87,0.76,0.79,0.87,0.84,0.79,0.87,0.89,0.88,0.86,0.87,533.0,216.0,749.0,9.78,11.33,734.0,351.0,1085.0,3011.0,1415.0,4427.0,0.87,0.78,0.39,0.55,0.03,0.03
217,Educación,Universidades,Pedagogía en Matemáticas y Computación,1098075.85,1207960.26,1264004.35,1296180.17,1331942.03,765089.25,929156.44,1077436.9,1270921.22,1477121.32,950538.12,1152449.66,1331950.03,1502193.22,1772475.96,1342158.39,1298454.34,1292193.75,1289567.99,1309993.07,0.91,0.95,0.87,0.94,0.92,0.92,0.9,0.93,0.93,0.96,0.95,0.94,291.0,306.0,597.0,9.72,11.83,336.0,355.0,691.0,1459.0,1665.0,3124.0,0.83,0.72,0.34,0.58,0.06,0.02
218,Ciencias Sociales,Universidades,Periodismo,1033449.85,1183215.07,1312880.16,1436817.01,1512509.82,619513.93,752193.11,951234.33,1195984.66,1626340.09,790723.67,1012990.6,1375090.38,1808259.1,2279027.35,1439494.86,1438660.81,1436367.42,1423433.29,1450561.76,0.7,0.79,0.61,0.68,0.75,0.71,0.63,0.74,0.78,0.81,0.81,0.75,771.0,615.0,1386.0,9.37,11.43,860.0,626.0,1486.0,3931.0,3619.0,7550.0,0.87,0.82,0.19,0.53,0.26,0.01
219,Educación,Universidades,Programas de Formación Pedagógica,1208865.18,1306701.18,1353377.57,1430797.3,1473718.8,698688.52,882785.6,1096108.35,1414088.77,1783090.49,767346.95,1052640.84,1315985.2,1608842.73,2059799.41,1482388.89,1533347.79,1435195.53,1373786.55,1474099.08,0.84,0.87,0.79,0.81,0.85,0.83,0.85,0.84,0.83,0.89,0.87,0.86,183.0,170.0,353.0,,,19.0,5.0,24.0,521.0,411.0,932.0,,,0.27,0.47,0.24,0.01
220,Ciencias Sociales,Universidades,Psicología,998896.29,1113650.88,1203197.03,1303330.58,1395488.46,582563.97,692846.19,880597.51,1141263.75,1504984.05,754017.38,983535.18,1220000.68,1568857.0,2066010.37,1325026.26,1380982.27,1322068.63,1304070.77,1281634.69,0.62,0.78,0.51,0.58,0.66,0.63,0.56,0.73,0.76,0.8,0.78,0.77,4926.0,1849.0,6775.0,10.08,11.5,8138.0,3421.0,11559.0,40283.0,16264.0,56549.0,0.87,0.82,0.27,0.55,0.16,0.02
221,Educación,Universidades,Psicopedagogía,804857.69,907243.16,914488.37,982331.06,1051359.56,564216.46,649543.65,804519.97,978809.48,1204879.89,624905.51,773135.96,999964.87,1187169.17,1357998.99,1088532.18,1035994.84,990982.89,941980.51,997885.31,0.59,0.69,0.3,0.35,0.58,0.58,0.62,0.63,0.46,0.64,0.7,0.73,128.0,6.0,134.0,8.03,10.68,91.0,8.0,99.0,278.0,26.0,304.0,0.73,0.64,0.23,0.54,0.21,0.02
222,Ciencias Sociales,Universidades,Publicidad,938258.35,1178039.92,1308093.53,1480917.69,1634164.91,594723.72,692086.37,842045.88,1004893.92,1287947.65,817773.67,1079747.66,1402993.99,1974360.06,2510106.64,1410625.7,1514060.36,1472052.1,1496334.89,1478464.07,0.73,0.82,0.59,0.76,0.76,0.77,0.67,0.74,0.77,0.83,0.8,0.83,274.0,222.0,496.0,8.36,9.64,531.0,228.0,759.0,1981.0,1036.0,3017.0,0.89,0.86,0.14,0.52,0.32,0.02
223,Salud,Universidades,Química y Farmacia,2011053.46,2193168.58,2273157.93,2368256.33,2463864.51,1306484.48,1656171.0,2010766.52,2332289.56,2690121.55,1588981.57,1991721.14,2351271.38,2795829.83,3270968.42,2304855.99,2480450.86,2387580.21,2322358.21,2407808.32,0.98,0.98,0.97,1.0,0.99,0.99,0.98,0.96,0.98,0.99,0.99,0.98,622.0,426.0,1048.0,10.76,14.25,1811.0,1135.0,2946.0,7150.0,4692.0,11842.0,0.88,0.83,0.28,0.6,0.11,0.01
224,Ciencias Básicas,Universidades,"Química, Licenciado en Química",1052323.17,1232128.79,1427856.92,1545659.34,1488644.05,595596.82,803992.03,963526.58,1212954.86,1745044.73,547413.92,982373.8,1378155.16,2046980.28,2405001.21,,,,,,0.61,0.66,,,,,,,,,,,53.0,62.0,115.0,10.14,14.72,121.0,106.0,227.0,450.0,510.0,960.0,0.77,0.64,0.26,0.55,0.17,0.01
225,Arte y Arquitectura,Universidades,Realizador de Cine y Televisión,1110014.78,1250958.69,1143405.0,1160555.59,1064588.78,574528.03,673448.08,845990.96,1159995.89,1776105.16,675004.21,868909.21,1107159.02,1363524.86,1784641.21,,,,,,0.48,0.55,0.42,0.35,0.45,0.55,0.43,0.39,0.52,0.45,0.57,0.56,101.0,104.0,205.0,9.1,12.06,190.0,170.0,360.0,701.0,761.0,1462.0,0.89,0.83,0.2,0.48,0.31,0.01
226,Ciencias Sociales,Universidades,Relaciones Públicas,1116547.12,1212553.53,1197936.52,1400349.19,1589756.87,562885.14,719736.82,920922.38,1268758.35,2638502.78,635145.61,881910.63,1120948.49,1507653.73,1911376.73,1434989.96,1590351.75,1488533.36,1149501.79,1460206.53,0.59,0.64,0.49,0.51,0.57,0.6,0.61,0.67,0.8,0.59,0.68,0.62,28.0,16.0,44.0,8.0,10.0,25.0,11.0,36.0,82.0,42.0,124.0,,0.61,0.35,0.54,0.06,0.05
227,Ciencias Sociales,Universidades,Sociología,1089620.51,1200016.33,1312597.02,1417499.73,1581981.79,594070.59,666242.96,920923.43,1292390.56,1818237.99,727900.15,1031364.84,1365715.43,1927079.0,2472635.24,1537274.4,1423858.2,1426682.87,1403641.13,1425350.28,0.62,0.75,0.45,0.51,0.63,0.66,0.58,0.63,0.67,0.7,0.8,0.73,236.0,243.0,479.0,9.83,12.99,255.0,238.0,493.0,1322.0,1133.0,2455.0,0.74,0.66,0.25,0.5,0.24,0.01
228,Agropecuaria,Universidades,Técnico Agropecuario,898000.59,911457.19,878167.2,1044642.91,1192596.4,552634.5,598435.47,809651.66,1381650.07,2052346.01,601030.34,701076.25,951406.56,1279251.94,1701864.63,,,,,,0.5,0.57,0.38,0.49,0.46,0.55,0.48,0.53,0.61,0.57,0.53,0.6,58.0,69.0,127.0,4.78,5.5,120.0,148.0,268.0,252.0,320.0,572.0,0.72,,0.5,0.43,0.02,0.06
229,Educación,Universidades,Técnico Asistente del Educador de Párvulos,665022.28,690092.26,676212.54,709797.8,830642.5,516049.12,544662.65,628560.82,774279.62,993836.2,559264.82,606137.33,709584.65,864606.08,1014501.89,868524.86,886966.38,689081.56,714776.87,731456.88,0.26,0.34,0.26,0.19,0.22,0.33,0.22,0.37,0.31,0.32,0.33,0.38,499.0,0.0,499.0,4.45,4.89,725.0,6.0,731.0,1368.0,7.0,1375.0,0.74,,0.54,0.43,0.0,0.02
230,Administración y Comercio,Universidades,Técnico en Administración de Empresas,1181469.95,1178865.64,1211993.9,1235089.3,1371053.45,593046.18,733506.33,981055.31,1442038.35,2012629.21,628944.2,783982.54,1061530.93,1502847.15,2140618.21,1403176.81,1523821.21,1197106.14,1225642.28,1278568.8,0.65,0.68,0.6,0.61,0.63,0.68,0.65,0.65,0.68,0.68,0.65,0.71,686.0,403.0,1089.0,4.37,5.28,854.0,556.0,1410.0,1811.0,1247.0,3058.0,0.69,,0.45,0.46,0.05,0.04
231,Administración y Comercio,Universidades,Técnico en Administración de Recursos Humanos y Personal,915049.89,953719.23,1065069.56,1159684.58,1336107.07,619534.6,668024.33,766338.99,1100713.33,1485065.83,596688.48,775268.42,1078497.58,1327384.65,2076565.47,1282044.31,1677766.75,1149831.7,1263434.88,1075866.48,0.63,0.72,0.59,0.72,0.66,0.61,0.6,0.64,0.68,0.76,0.75,0.64,36.0,12.0,48.0,4.47,5.91,105.0,37.0,142.0,204.0,58.0,262.0,0.79,,0.39,0.53,0.03,0.05
232,Tecnología,Universidades,Técnico en Alimentos,849286.92,969838.78,1047248.91,1157820.86,1196365.48,565576.97,733200.65,835223.1,989932.48,1272495.99,762599.01,845722.38,1074736.24,1439028.97,1798800.67,,,,,,0.6,0.66,0.7,0.7,0.61,0.6,0.57,0.79,0.77,0.66,0.65,0.67,50.0,19.0,69.0,4.89,5.73,25.0,40.0,65.0,81.0,88.0,169.0,0.64,,0.47,0.51,0.01,0.01
