ID,Área,Tipo de institución,Área Carrera Genérica,1er año,2° año,3er año,4° año,5° año,10% inferior 1er año,25% inferior 1er año,Percentil 50 1er año,25% superior 1er año,10% superior 1er año,10% inferior 5° año,25% inferior 5° año,Percentil 50 5° año,25% superior 5° año,10% superior 5° año,Ingresos al 4° año 2020,Ingresos al 4° año 2021,Ingresos al 4° año 2022,Ingresos al 4° año 2023,Ingresos al 4° año 2024,Empleabilidad 1er año,Empleabilidad 2° año,Empleabilidad 1er año - 2020,Empleabilidad 1er año - 2021,Empleabilidad 1er año - 2022,Empleabilidad 1er año - 2023,Empleabilidad 1er año - 2024,Empleabilidad 2° año - 2020,Empleabilidad 2° año - 2021,Empleabilidad 2° año - 2022,Empleabilidad 2° año - 2023,Empleabilidad 2° año - 2024,Titulados Mujeres,Titulados Hombres,Titulados Total,Duración Formal,Duración Real,Matrícula 1er año Mujeres,Matrícula 1er año Hombres,Total Matrícula 1er año,Matrícula Total Mujeres,Matrícula Total Hombres,Matrícula Total,Retención 1er año,Retención 2° año,Municipal y Servicios Locales,Particular Subvencionado,Particular Pagado,Administración Delegada
146,Ciencias Básicas,Universidades,Bioquímica,1059558.64,1308473.52,1376985.02,1458953.05,1568532.7,598508.53,729943.64,932599.34,1144413.45,1471132.27,650436.25,928650.04,1363713.48,1824546.01,2645706.49,1563510.17,1727240.44,1646120.64,1428542.98,1266670.99,0.64,0.71,0.58,0.84,0.82,0.63,0.56,0.72,0.8,0.81,0.7,0.65,181.0,133.0,315.0,10.54,14.11,395.0,228.0,623.0,1728.0,1215.0,2943.0,0.79,0.7,0.24,0.54,0.21,0.01
147,Ciencias Sociales,Universidades,Ciencias Políticas,1111607.35,1220455.39,1397194.45,1564680.25,1702525.54,584762.32,757669.0,998283.2,1418062.51,1909686.09,825935.24,1157833.05,1502836.6,2123257.22,2840612.34,1622154.99,1494572.25,1583066.14,1560453.37,1534923.17,0.58,0.76,0.52,0.53,0.65,0.57,0.54,0.71,0.72,0.75,0.76,0.76,193.0,140.0,333.0,9.22,11.37,273.0,167.0,440.0,937.0,781.0,1718.0,0.81,0.77,0.22,0.49,0.28,0.01
148,Arte y Arquitectura,Universidades,Comunicación Audiovisual y/o Multimedia,1065600.85,1092735.89,1179803.2,1222311.44,1290274.21,570614.77,647746.09,760369.97,946164.88,1428869.67,601560.03,855205.68,1188619.71,1552280.93,2376733.45,1470483.21,1197860.13,1289361.19,1367211.47,1007944.03,0.47,0.56,0.46,0.49,0.56,0.43,0.39,0.6,0.66,0.59,0.63,0.47,69.0,102.0,171.0,9.1,11.54,135.0,159.0,294.0,595.0,803.0,1398.0,0.83,0.75,0.17,0.55,0.27,0.02
149,Tecnología,Universidades,Construcción Civil,1362521.92,1577829.87,1736939.23,1886038.93,2098714.04,654983.47,860925.98,1147488.51,1508747.76,1949326.05,995239.88,1434192.98,1946267.87,2559081.76,3208411.14,1821912.84,2036197.07,1932113.3,1945621.66,1778659.3,0.83,0.85,0.8,0.82,0.86,0.85,0.78,0.82,0.88,0.83,0.85,0.88,106.0,316.0,422.0,9.36,14.06,131.0,327.0,458.0,556.0,1713.0,2269.0,0.84,0.75,0.27,0.55,0.14,0.04
150,Administración y Comercio,Universidades,Contador Auditor,1206721.53,1357322.55,1506715.03,1687026.29,1825824.08,641315.16,803679.17,985729.4,1339165.3,1926420.5,828141.5,1125088.88,1576091.27,2104308.1,2961185.96,1785928.4,1701831.87,1756798.35,1641112.03,1662338.1,0.85,0.9,0.81,0.84,0.87,0.86,0.83,0.86,0.89,0.91,0.89,0.89,1300.0,819.0,2119.0,9.15,11.78,1280.0,1319.0,2599.0,6287.0,5347.0,11634.0,0.84,0.75,0.34,0.56,0.03,0.06
151,Derecho,Universidades,Derecho,1662615.29,1852955.79,2050180.72,2204825.64,2426581.79,688623.34,993914.88,1461805.71,2046455.94,2815678.33,936691.6,1458122.27,2057320.86,2951162.75,4261475.04,2435972.21,2379971.28,2178042.53,2233582.53,2206370.44,0.75,0.82,0.7,0.75,0.78,0.75,0.73,0.77,0.81,0.81,0.83,0.82,2690.0,2233.0,4923.0,10.45,16.19,5926.0,4276.0,10202.0,28372.0,21435.0,49807.0,0.83,0.76,0.24,0.53,0.21,0.02
152,Arte y Arquitectura,Universidades,Diseño,1035131.16,1193890.12,1298862.83,1450392.86,1525896.26,557568.12,664108.35,808120.5,1073436.3,1498186.86,705677.46,955927.15,1309591.37,1873735.04,2609167.8,1211475.37,1345993.59,1514883.81,1389187.98,1444638.57,0.6,0.72,0.48,0.61,0.68,0.61,0.5,0.69,0.7,0.75,0.72,0.7,578.0,118.0,696.0,9.86,12.11,1124.0,261.0,1385.0,5196.0,1397.0,6594.0,0.89,0.82,0.15,0.42,0.42,0.01
153,Arte y Arquitectura,Universidades,Diseño Gráfico,899199.46,1000242.6,1055086.45,1179236.2,1243756.1,560660.89,622379.27,753203.36,1001007.34,1256961.95,566377.28,736460.16,1027278.56,1374609.96,2192294.48,1227361.88,1246334.63,1198571.03,1256314.47,1115132.14,0.44,0.53,0.46,0.5,0.47,0.39,0.45,0.54,0.6,0.63,0.48,0.5,141.0,91.0,232.0,9.21,11.58,231.0,165.0,396.0,1164.0,821.0,1986.0,0.84,0.75,0.25,0.58,0.15,0.02
154,Tecnología,Universidades,Diseño Industrial,907219.76,955410.63,1057889.24,1194059.86,1320772.49,548698.64,607491.95,815715.01,938168.42,1377643.7,652688.85,862616.88,1060363.18,1269954.67,2432645.2,963869.03,1086116.4,1280888.01,1191207.16,1106408.36,0.58,0.63,0.36,0.54,0.69,0.51,0.59,0.56,0.59,0.67,0.65,0.59,42.0,40.0,82.0,8.85,13.6,105.0,52.0,157.0,358.0,243.0,601.0,0.82,0.74,0.27,0.58,0.1,0.05
155,Salud,Universidades,Enfermería,1322775.46,1559232.06,1740235.49,1832131.34,1864806.68,613838.12,766470.82,1064107.82,1402427.98,1764500.51,1017889.23,1418583.95,1826429.89,2255476.76,2648020.81,1790617.66,2013405.61,1852235.54,1802199.8,1850417.27,0.79,0.88,0.93,0.98,0.92,0.77,0.65,0.95,0.98,0.96,0.9,0.83,4713.0,929.0,5642.0,9.99,12.06,6182.0,1406.0,7588.0,30333.0,7069.0,37402.0,0.88,0.83,0.3,0.59,0.09,0.02
156,Salud,Universidades,Fonoaudiología,844333.85,968971.82,1048129.85,1108057.37,1135677.21,542550.72,608063.67,719964.13,928554.03,1201074.68,657129.3,813327.72,1083626.46,1383781.78,1708107.42,1098493.72,1145690.65,1097802.75,1118110.15,1112634.25,0.42,0.6,0.28,0.62,0.46,0.41,0.36,0.5,0.67,0.68,0.6,0.59,1276.0,122.0,1398.0,10.0,12.15,1315.0,161.0,1476.0,6666.0,805.0,7471.0,0.79,0.73,0.32,0.61,0.04,0.03
157,Ciencias Sociales,Universidades,Geografía,994743.92,1198825.15,1364132.43,1401672.73,1600847.19,606090.82,703272.14,878373.66,1208154.7,1507998.45,813949.12,1154180.9,1547098.07,1937806.77,2297371.16,1664441.72,1500984.26,1353416.06,1401640.2,1504952.99,0.65,0.83,0.57,0.7,0.66,0.65,0.63,0.72,0.81,0.82,0.85,0.81,109.0,125.0,234.0,10.0,14.0,66.0,109.0,175.0,398.0,682.0,1080.0,0.85,0.75,0.25,0.53,0.21,0.01
